班级,年级,专业,班号,人数,院系,课程数,教师数
2024级物联网工程1班,2024,物联网工程,1,30,电子信息与计算机工程系(学院),3,4
2024级物联网工程2班,2024,物联网工程,2,27,电子信息与计算机工程系(学院),3,4
2024级环境工程1班,2024,环境工程,1,20,核工程与新能源技术系(学院),4,4
2024级环境工程2班,2024,环境工程,2,20,核工程与新能源技术系(学院),4,4
2024级环境设计1班,2024,环境设计,1,37,艺术设计系(学院),8,9
2024级环境设计2班,2024,环境设计,2,35,艺术设计系(学院),8,8
2024级环境设计3班,2024,环境设计,3,34,艺术设计系(学院),8,8
2024级电子信息工程1班,2024,电子信息工程,1,49,电子信息与计算机工程系(学院),6,7
2024级电子信息工程2班,2024,电子信息工程,2,47,电子信息与计算机工程系(学院),6,7
2024级电子商务1班,2024,电子商务,1,46,管理与传媒系(学院),6,6
2024级电子科学与技术1班,2024,电子科学与技术,1,28,电子信息与计算机工程系(学院),5,5
2024级电子科学与技术2班,2024,电子科学与技术,2,29,电子信息与计算机工程系(学院),5,5
2024级电气创新1班,2024,电气创新,1,32,自动化工程系(学院),5,4
2024级电气工程及其自动化1班,2024,电气工程及其自动化,1,51,自动化工程系(学院),3,4
2024级电气工程及其自动化2班,2024,电气工程及其自动化,2,52,自动化工程系(学院),3,3
2024级电气工程及其自动化3班,2024,电气工程及其自动化,3,52,自动化工程系(学院),3,3
2024级电气工程及其自动化4班,2024,电气工程及其自动化,4,45,自动化工程系(学院),3,3
2024级电气工程及其自动化5班,2024,电气工程及其自动化,5,49,自动化工程系(学院),3,3
2024级电气工程及其自动化6班,2024,电气工程及其自动化,6,45,自动化工程系(学院),3,3
2024级电气工程及其自动化7班,2024,电气工程及其自动化,7,48,自动化工程系(学院),3,3
2024级电气工程及其自动化8班,2024,电气工程及其自动化,8,45,自动化工程系(学院),3,3
2024级税收学1班,2024,税收学,1,29,经济系(学院),3,5
2024级税收学2班,2024,税收学,2,29,经济系(学院),3,5
2024级网络与新媒体1班,2024,网络与新媒体,1,40,管理与传媒系(学院),8,8
2024级网络与新媒体2班,2024,网络与新媒体,2,37,管理与传媒系(学院),8,8
2024级网络与新媒体3班,2024,网络与新媒体,3,46,管理与传媒系(学院),8,8
2024级网络与新媒体4班,2024,网络与新媒体,4,35,管理与传媒系(学院),8,8
2024级能源与动力工程1班,2024,能源与动力工程,1,23,核工程与新能源技术系(学院),3,3
2024级能源与动力工程2班,2024,能源与动力工程,2,21,核工程与新能源技术系(学院),3,3
2024级能源与动力工程3班,2024,能源与动力工程,3,21,核工程与新能源技术系(学院),3,3
2024级能源与动力工程4班,2024,能源与动力工程,4,22,核工程与新能源技术系(学院),3,3
2024级自动化1班,2024,自动化,1,26,自动化工程系(学院),5,9
2024级自动化2班,2024,自动化,2,32,自动化工程系(学院),5,10
2024级自动化3班,2024,自动化,3,25,自动化工程系(学院),5,10
2024级自动化4班,2024,自动化,4,29,自动化工程系(学院),5,10
2024级英语1班,2024,英语,1,39,外语系(学院),3,3
2024级英语2班,2024,英语,2,39,外语系(学院),3,3
2024级视觉传达设计1班,2024,视觉传达设计,1,43,艺术设计系(学院),6,6
2024级视觉传达设计2班,2024,视觉传达设计,2,41,艺术设计系(学院),6,6
2024级视觉传达设计3班,2024,视觉传达设计,3,41,艺术设计系(学院),6,7
2024级计算机科学与技术1班,2024,计算机科学与技术,1,48,电子信息与计算机工程系(学院),5,6
2024级计算机科学与技术2班,2024,计算机科学与技术,2,45,电子信息与计算机工程系(学院),5,6
2024级计算机科学与技术3班,2024,计算机科学与技术,3,48,电子信息与计算机工程系(学院),5,5
2024级计算机科学与技术4班,2024,计算机科学与技术,4,46,电子信息与计算机工程系(学院),5,5
2024级财务管理1班,2024,财务管理,1,43,经济系(学院),6,8
2024级财务管理2班,2024,财务管理,2,42,经济系(学院),6,8
2024级软件工程1班,2024,软件工程,1,43,电子信息与计算机工程系(学院),5,5
2024级软件工程2班,2024,软件工程,2,45,电子信息与计算机工程系(学院),5,5
2024级软件工程3班,2024,软件工程,3,42,电子信息与计算机工程系(学院),5,5
2024级软件工程4班,2024,软件工程,4,42,电子信息与计算机工程系(学院),5,5
2024级通信工程1班,2024,通信工程,1,29,电子信息与计算机工程系(学院),5,3
2024级通信工程2班,2024,通信工程,2,30,电子信息与计算机工程系(学院),5,3
2025级*数字媒体技术1班,2025,*数字媒体技术,1,54,电子信息与计算机工程系(学院),9,14
2025级*智能制造工程1班,2025,*智能制造工程,1,27,自动化工程系(学院),7,7
2025级*智能制造工程2班,2025,*智能制造工程,2,25,自动化工程系(学院),7,7
2025级*智能车辆工程1班,2025,*智能车辆工程,1,28,自动化工程系(学院),8,7
2025级*智能车辆工程2班,2025,*智能车辆工程,2,28,自动化工程系(学院),8,7
2025级*水利水电工程1班,2025,*水利水电工程,1,48,核工程与新能源技术系(学院),9,14
2025级*物联网工程1班,2025,*物联网工程,1,54,电子信息与计算机工程系(学院),10,16
2025级产品设计1班,2025,产品设计,1,42,艺术设计系(学院),8,8
2025级产品设计2班,2025,产品设计,2,41,艺术设计系(学院),8,8
2025级人工智能1班,2025,人工智能,1,25,电子信息与计算机工程系(学院),9,15
2025级人工智能2班,2025,人工智能,2,29,电子信息与计算机工程系(学院),9,15
2025级人工智能3班,2025,人工智能,3,27,电子信息与计算机工程系(学院),9,15
2025级人工智能4班,2025,人工智能,4,25,电子信息与计算机工程系(学院),9,15
2025级会计学10班,2025,会计学,10,36,经济系(学院),9,9
2025级会计学1班,2025,会计学,1,36,经济系(学院),9,9
2025级会计学2班,2025,会计学,2,35,经济系(学院),9,9
2025级会计学3班,2025,会计学,3,41,经济系(学院),9,9
2025级会计学4班,2025,会计学,4,41,经济系(学院),9,9
2025级会计学5班,2025,会计学,5,41,经济系(学院),9,9
2025级会计学6班,2025,会计学,6,41,经济系(学院),9,9
2025级会计学7班,2025,会计学,7,37,经济系(学院),9,9
2025级会计学8班,2025,会计学,8,35,经济系(学院),9,9
2025级会计学9班,2025,会计学,9,36,经济系(学院),9,9
2025级地质学1班,2025,地质学,1,42,资源勘查与土木工程系(学院),8,8
2025级地质学2班,2025,地质学,2,35,资源勘查与土木工程系(学院),8,8
2025级城乡规划1班,2025,城乡规划,1,30,资源勘查与土木工程系(学院),10,9
2025级城乡规划2班,2025,城乡规划,2,24,资源勘查与土木工程系(学院),10,9
2025级安全工程1班,2025,安全工程,1,25,资源勘查与土木工程系(学院),9,9
2025级安全工程2班,2025,安全工程,2,23,资源勘查与土木工程系(学院),9,9
2025级审计学1班,2025,审计学,1,29,经济系(学院),9,9
2025级审计学2班,2025,审计学,2,32,经济系(学院),9,9
2025级审计学3班,2025,审计学,3,31,经济系(学院),9,9
2025级审计学4班,2025,审计学,4,33,经济系(学院),9,9
2025级审计学5班,2025,审计学,5,35,经济系(学院),9,9
2025级审计学6班,2025,审计学,6,34,经济系(学院),9,9
2025级工商管理1班,2025,工商管理,1,24,管理与传媒系(学院),9,9
2025级工商管理2班,2025,工商管理,2,23,管理与传媒系(学院),9,9
2025级工程造价(本)1班,2025,工程造价(本),1,34,资源勘查与土木工程系(学院),9,8
2025级工程造价(本)2班,2025,工程造价(本),2,36,资源勘查与土木工程系(学院),9,8
2025级数字媒体技术1班,2025,数字媒体技术,1,43,电子信息与计算机工程系(学院),9,15
2025级数字媒体技术2班,2025,数字媒体技术,2,45,电子信息与计算机工程系(学院),9,15
2025级数字媒体艺术1班,2025,数字媒体艺术,1,32,艺术设计系(学院),7,7
2025级数字媒体艺术2班,2025,数字媒体艺术,2,33,艺术设计系(学院),7,7
2025级数字媒体艺术3班,2025,数字媒体艺术,3,33,艺术设计系(学院),7,7
2025级数字媒体艺术4班,2025,数字媒体艺术,4,32,艺术设计系(学院),7,7
2025级数据科学与大数据技术1班,2025,数据科学与大数据技术,1,54,电子信息与计算机工程系(学院),9,15
2025级机器人工程1班,2025,机器人工程,1,28,自动化工程系(学院),8,10
2025级机器人工程2班,2025,机器人工程,2,25,自动化工程系(学院),8,10
2025级机械工程1班,2025,机械工程,1,39,自动化工程系(学院),6,6
2025级机械工程2班,2025,机械工程,2,35,自动化工程系(学院),6,6
2025级机械电子工程1班,2025,机械电子工程,1,29,自动化工程系(学院),7,7
2025级机械电子工程2班,2025,机械电子工程,2,34,自动化工程系(学院),7,7
2025级机械电子工程3班,2025,机械电子工程,3,28,自动化工程系(学院),7,7
2025级机械电子工程4班,2025,机械电子工程,4,27,自动化工程系(学院),7,7
2025级核工程与核技术10班,2025,核工程与核技术,10,34,核工程与新能源技术系(学院),10,18
2025级核工程与核技术1班,2025,核工程与核技术,1,42,核工程与新能源技术系(学院),10,17
2025级核工程与核技术2班,2025,核工程与核技术,2,40,核工程与新能源技术系(学院),10,17
2025级核工程与核技术3班,2025,核工程与核技术,3,40,核工程与新能源技术系(学院),10,18
2025级核工程与核技术4班,2025,核工程与核技术,4,40,核工程与新能源技术系(学院),10,18
2025级核工程与核技术5班,2025,核工程与核技术,5,37,核工程与新能源技术系(学院),10,18
2025级核工程与核技术6班,2025,核工程与核技术,6,36,核工程与新能源技术系(学院),10,18
2025级核工程与核技术7班,2025,核工程与核技术,7,36,核工程与新能源技术系(学院),10,18
2025级核工程与核技术8班,2025,核工程与核技术,8,34,核工程与新能源技术系(学院),10,18
2025级核工程与核技术9班,2025,核工程与核技术,9,34,核工程与新能源技术系(学院),10,18
2025级水利水电工程1班,2025,水利水电工程,1,29,核工程与新能源技术系(学院),9,14
2025级环境工程1班,2025,环境工程,1,19,核工程与新能源技术系(学院),9,14
2025级环境工程2班,2025,环境工程,2,22,核工程与新能源技术系(学院),9,14
2025级环境设计1班,2025,环境设计,1,28,艺术设计系(学院),7,7
2025级环境设计2班,2025,环境设计,2,27,艺术设计系(学院),7,7
2025级环境设计3班,2025,环境设计,3,24,艺术设计系(学院),7,7
2025级环境设计4班,2025,环境设计,4,27,艺术设计系(学院),7,7
2025级电子信息工程1班,2025,电子信息工程,1,28,电子信息与计算机工程系(学院),12,17
2025级电子信息工程2班,2025,电子信息工程,2,29,电子信息与计算机工程系(学院),12,17
2025级电子商务1班,2025,电子商务,1,45,管理与传媒系(学院),9,8
2025级电子科学与技术1班,2025,电子科学与技术,1,26,电子信息与计算机工程系(学院),11,17
2025级电子科学与技术2班,2025,电子科学与技术,2,26,电子信息与计算机工程系(学院),11,16
2025级电气工程及其自动化10班,2025,电气工程及其自动化,10,50,自动化工程系(学院),9,9
2025级电气工程及其自动化1班,2025,电气工程及其自动化,1,48,自动化工程系(学院),9,9
2025级电气工程及其自动化2班,2025,电气工程及其自动化,2,47,自动化工程系(学院),9,9
2025级电气工程及其自动化3班,2025,电气工程及其自动化,3,47,自动化工程系(学院),9,9
2025级电气工程及其自动化4班,2025,电气工程及其自动化,4,48,自动化工程系(学院),9,9
2025级电气工程及其自动化5班,2025,电气工程及其自动化,5,49,自动化工程系(学院),9,9
2025级电气工程及其自动化6班,2025,电气工程及其自动化,6,46,自动化工程系(学院),9,9
2025级电气工程及其自动化7班,2025,电气工程及其自动化,7,48,自动化工程系(学院),9,9
2025级电气工程及其自动化8班,2025,电气工程及其自动化,8,48,自动化工程系(学院),9,9
2025级电气工程及其自动化9班,2025,电气工程及其自动化,9,46,自动化工程系(学院),9,9
2025级能源与动力工程1班,2025,能源与动力工程,1,30,核工程与新能源技术系(学院),9,14
2025级能源与动力工程2班,2025,能源与动力工程,2,31,核工程与新能源技术系(学院),9,14
2025级能源与动力工程3班,2025,能源与动力工程,3,27,核工程与新能源技术系(学院),9,14
2025级能源与动力工程4班,2025,能源与动力工程,4,28,核工程与新能源技术系(学院),9,14
2025级视觉传达设计1班,2025,视觉传达设计,1,32,艺术设计系(学院),7,7
2025级视觉传达设计2班,2025,视觉传达设计,2,32,艺术设计系(学院),7,7
2025级视觉传达设计3班,2025,视觉传达设计,3,34,艺术设计系(学院),7,7
2025级视觉传达设计4班,2025,视觉传达设计,4,32,艺术设计系(学院),7,7
2025级计算机科学与技术1班,2025,计算机科学与技术,1,31,电子信息与计算机工程系(学院),9,15
2025级计算机科学与技术2班,2025,计算机科学与技术,2,30,电子信息与计算机工程系(学院),9,15
2025级计算机科学与技术3班,2025,计算机科学与技术,3,34,电子信息与计算机工程系(学院),9,14
2025级计算机科学与技术4班,2025,计算机科学与技术,4,33,电子信息与计算机工程系(学院),9,14
2025级计算机科学与技术5班,2025,计算机科学与技术,5,33,电子信息与计算机工程系(学院),9,15
2025级计算机科学与技术6班,2025,计算机科学与技术,6,29,电子信息与计算机工程系(学院),9,15
2025级财务管理1班,2025,财务管理,1,47,经济系(学院),9,9
2025级财务管理2班,2025,财务管理,2,49,经济系(学院),9,9
2025级软件工程1班,2025,软件工程,1,53,电子信息与计算机工程系(学院),9,14
2025级软件工程2班,2025,软件工程,2,52,电子信息与计算机工程系(学院),9,14
